KOD WOJ.,WOJEWÓDZTWO,IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ
2,DOLNOŚLĄSKIE,ANTONI,MĘŻCZYZNA,438
2,DOLNOŚLĄSKIE,JAN,MĘŻCZYZNA,435
2,DOLNOŚLĄSKIE,NIKODEM,MĘŻCZYZNA,434
2,DOLNOŚLĄSKIE,JAKUB,MĘŻCZYZNA,433
2,DOLNOŚLĄSKIE,LEON,MĘŻCZYZNA,422
2,DOLNOŚLĄSKIE,ALEKSANDER,MĘŻCZYZNA,368
2,DOLNOŚLĄSKIE,FRANCISZEK,MĘŻCZYZNA,342
2,DOLNOŚLĄSKIE,MIKOŁAJ,MĘŻCZYZNA,331
2,DOLNOŚLĄSKIE,FILIP,MĘŻCZYZNA,309
2,DOLNOŚLĄSKIE,STANISŁAW,MĘŻCZYZNA,301
2,DOLNOŚLĄSKIE,IGNACY,MĘŻCZYZNA,292
2,DOLNOŚLĄSKIE,SZYMON,MĘŻCZYZNA,285
2,DOLNOŚLĄSKIE,MICHAŁ,MĘŻCZYZNA,242
2,DOLNOŚLĄSKIE,WOJCIECH,MĘŻCZYZNA,230
2,DOLNOŚLĄSKIE,KACPER,MĘŻCZYZNA,221
2,DOLNOŚLĄSKIE,TYMON,MĘŻCZYZNA,216
2,DOLNOŚLĄSKIE,MAKSYMILIAN,MĘŻCZYZNA,215
2,DOLNOŚLĄSKIE,ADAM,MĘŻCZYZNA,207
2,DOLNOŚLĄSKIE,MARCEL,MĘŻCZYZNA,188
2,DOLNOŚLĄSKIE,WIKTOR,MĘŻCZYZNA,187
2,DOLNOŚLĄSKIE,TYMOTEUSZ,MĘŻCZYZNA,180
2,DOLNOŚLĄSKIE,MIŁOSZ,MĘŻCZYZNA,176
2,DOLNOŚLĄSKIE,OLIWIER,MĘŻCZYZNA,167
2,DOLNOŚLĄSKIE,PIOTR,MĘŻCZYZNA,157
2,DOLNOŚLĄSKIE,JULIAN,MĘŻCZYZNA,157
2,DOLNOŚLĄSKIE,OSKAR,MĘŻCZYZNA,151
2,DOLNOŚLĄSKIE,IGOR,MĘŻCZYZNA,133
2,DOLNOŚLĄSKIE,BRUNO,MĘŻCZYZNA,110
2,DOLNOŚLĄSKIE,NATAN,MĘŻCZYZNA,106
2,DOLNOŚLĄSKIE,KAROL,MĘŻCZYZNA,105
2,DOLNOŚLĄSKIE,DAWID,MĘŻCZYZNA,104
2,DOLNOŚLĄSKIE,KRZYSZTOF,MĘŻCZYZNA,102
2,DOLNOŚLĄSKIE,BARTOSZ,MĘŻCZYZNA,101
2,DOLNOŚLĄSKIE,GABRIEL,MĘŻCZYZNA,95
2,DOLNOŚLĄSKIE,TOMASZ,MĘŻCZYZNA,94
2,DOLNOŚLĄSKIE,DOMINIK,MĘŻCZYZNA,93
2,DOLNOŚLĄSKIE,HUBERT,MĘŻCZYZNA,93
2,DOLNOŚLĄSKIE,MACIEJ,MĘŻCZYZNA,81
2,DOLNOŚLĄSKIE,MILAN,MĘŻCZYZNA,80
2,DOLNOŚLĄSKIE,MATEUSZ,MĘŻCZYZNA,79
2,DOLNOŚLĄSKIE,FABIAN,MĘŻCZYZNA,78
2,DOLNOŚLĄSKIE,ALAN,MĘŻCZYZNA,76
2,DOLNOŚLĄSKIE,DANIEL,MĘŻCZYZNA,71
2,DOLNOŚLĄSKIE,CEZARY,MĘŻCZYZNA,67
2,DOLNOŚLĄSKIE,ARTUR,MĘŻCZYZNA,66
2,DOLNOŚLĄSKIE,TADEUSZ,MĘŻCZYZNA,65
2,DOLNOŚLĄSKIE,KAJETAN,MĘŻCZYZNA,65
2,DOLNOŚLĄSKIE,HENRYK,MĘŻCZYZNA,64
2,DOLNOŚLĄSKIE,KUBA,MĘŻCZYZNA,60
2,DOLNOŚLĄSKIE,MARK,MĘŻCZYZNA,58
2,DOLNOŚLĄSKIE,LEO,MĘŻCZYZNA,57
2,DOLNOŚLĄSKIE,KORNEL,MĘŻCZYZNA,57
2,DOLNOŚLĄSKIE,KSAWERY,MĘŻCZYZNA,56
2,DOLNOŚLĄSKIE,TEODOR,MĘŻCZYZNA,55
