KOD WOJ.,WOJEWÓDZTWO,IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
2,DOLNOŚLĄSKIE,JAN,MĘŻCZYZNA,387
2,DOLNOŚLĄSKIE,PIOTR,MĘŻCZYZNA,242
2,DOLNOŚLĄSKIE,MICHAŁ,MĘŻCZYZNA,161
2,DOLNOŚLĄSKIE,JÓZEF,MĘŻCZYZNA,153
2,DOLNOŚLĄSKIE,STANISŁAW,MĘŻCZYZNA,151
2,DOLNOŚLĄSKIE,KRZYSZTOF,MĘŻCZYZNA,150
2,DOLNOŚLĄSKIE,ADAM,MĘŻCZYZNA,141
2,DOLNOŚLĄSKIE,PAWEŁ,MĘŻCZYZNA,140
2,DOLNOŚLĄSKIE,ANDRZEJ,MĘŻCZYZNA,132
2,DOLNOŚLĄSKIE,ALEKSANDER,MĘŻCZYZNA,116
2,DOLNOŚLĄSKIE,JAKUB,MĘŻCZYZNA,115
2,DOLNOŚLĄSKIE,ANTONI,MĘŻCZYZNA,114
2,DOLNOŚLĄSKIE,TOMASZ,MĘŻCZYZNA,108
2,DOLNOŚLĄSKIE,WOJCIECH,MĘŻCZYZNA,103
2,DOLNOŚLĄSKIE,MATEUSZ,MĘŻCZYZNA,99
2,DOLNOŚLĄSKIE,FRANCISZEK,MĘŻCZYZNA,96
2,DOLNOŚLĄSKIE,MAREK,MĘŻCZYZNA,93
2,DOLNOŚLĄSKIE,ŁUKASZ,MĘŻCZYZNA,83
2,DOLNOŚLĄSKIE,JERZY,MĘŻCZYZNA,81
2,DOLNOŚLĄSKIE,MARCIN,MĘŻCZYZNA,80
2,DOLNOŚLĄSKIE,TADEUSZ,MĘŻCZYZNA,78
2,DOLNOŚLĄSKIE,HENRYK,MĘŻCZYZNA,74
2,DOLNOŚLĄSKIE,KAZIMIERZ,MĘŻCZYZNA,74
2,DOLNOŚLĄSKIE,MACIEJ,MĘŻCZYZNA,72
2,DOLNOŚLĄSKIE,MIKOŁAJ,MĘŻCZYZNA,72
2,DOLNOŚLĄSKIE,ROBERT,MĘŻCZYZNA,65
2,DOLNOŚLĄSKIE,GRZEGORZ,MĘŻCZYZNA,62
2,DOLNOŚLĄSKIE,RYSZARD,MĘŻCZYZNA,60
2,DOLNOŚLĄSKIE,SZYMON,MĘŻCZYZNA,59
2,DOLNOŚLĄSKIE,DAWID,MĘŻCZYZNA,58
2,DOLNOŚLĄSKIE,LEON,MĘŻCZYZNA,55
2,DOLNOŚLĄSKIE,KACPER,MĘŻCZYZNA,50
2,DOLNOŚLĄSKIE,FILIP,MĘŻCZYZNA,49
2,DOLNOŚLĄSKIE,MAKSYMILIAN,MĘŻCZYZNA,49
2,DOLNOŚLĄSKIE,ZBIGNIEW,MĘŻCZYZNA,48
2,DOLNOŚLĄSKIE,DOMINIK,MĘŻCZYZNA,47
2,DOLNOŚLĄSKIE,RAFAŁ,MĘŻCZYZNA,47
2,DOLNOŚLĄSKIE,KAROL,MĘŻCZYZNA,46
2,DOLNOŚLĄSKIE,PATRYK,MĘŻCZYZNA,45
2,DOLNOŚLĄSKIE,MARIUSZ,MĘŻCZYZNA,42
2,DOLNOŚLĄSKIE,KAMIL,MĘŻCZYZNA,40
2,DOLNOŚLĄSKIE,DARIUSZ,MĘŻCZYZNA,38
2,DOLNOŚLĄSKIE,EDWARD,MĘŻCZYZNA,38
2,DOLNOŚLĄSKIE,IGNACY,MĘŻCZYZNA,38
2,DOLNOŚLĄSKIE,ARTUR,MĘŻCZYZNA,36
2,DOLNOŚLĄSKIE,BARTOSZ,MĘŻCZYZNA,36
2,DOLNOŚLĄSKIE,JACEK,MĘŻCZYZNA,36
2,DOLNOŚLĄSKIE,WIKTOR,MĘŻCZYZNA,36
2,DOLNOŚLĄSKIE,ROMAN,MĘŻCZYZNA,35
2,DOLNOŚLĄSKIE,GABRIEL,MĘŻCZYZNA,33
2,DOLNOŚLĄSKIE,DAMIAN,MĘŻCZYZNA,30
2,DOLNOŚLĄSKIE,SEBASTIAN,MĘŻCZYZNA,30
2,DOLNOŚLĄSKIE,MARIAN,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,MIROSŁAW,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,WŁADYSŁAW,MĘŻCZYZNA,29
2,DOLNOŚLĄSKIE,JULIAN,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,MIECZYSŁAW,MĘŻCZYZNA,28
2,DOLNOŚLĄSKIE,NIKODEM,MĘŻCZYZNA,28
